file,sim_idx,snap,z,z_idx,alpha,target_F,median,std,max_abs_dev
sim44_snap21.npz,44,21,2.399996,11,0.8689322148429494,0.8402764714963797,0.9999947503922998,5.051782211734167e-07,6.609193010986836e-06
sim44_snap21.npz,44,21,2.399996,11,0.9400574927528981,0.8283919771066716,0.9999948800731373,5.023884730189077e-07,6.6152392613760824e-06
sim44_snap21.npz,44,21,2.399996,11,1.0111827706628471,0.8166755716873083,0.9999949392064464,5.026104129142491e-07,6.5606368835346984e-06
sim44_snap21.npz,44,21,2.399996,11,1.0823080485727958,0.8051248778631133,0.9999948754695926,4.954353420394084e-07,6.709721870779006e-06
sim44_snap21.npz,44,21,2.399996,11,1.1534333264827445,0.7937375518834403,0.9999948724467537,5.077896846945051e-07,6.617529411889755e-06
sim44_snap21.npz,44,21,2.399996,11,1.2245586043926935,0.7825112831466032,0.9999949357667417,4.981397845180813e-07,6.559455375643175e-06
sim44_snap21.npz,44,21,2.399996,11,1.2956838823026422,0.7714437937310327,0.9999949996628654,4.938570986532499e-07,6.527807276057729e-06
sim44_snap17.npz,44,17,3.0,8,0.6555563811131029,0.7885135412901221,1.0000001270369494,4.517115613768215e-07,2.0325512919416866e-06
sim44_snap17.npz,44,17,3.0,8,0.7266816590230517,0.7684460047279383,1.0000001693227496,4.2613708228992824e-07,1.9060307900886642e-06
sim44_snap17.npz,44,17,3.0,8,0.7978069369330005,0.7488891835848148,1.000000168401968,4.0772492649887745e-07,1.7621301852122073e-06
sim44_snap17.npz,44,17,3.0,8,0.8689322148429494,0.7298300802395209,1.0000001271509396,3.809867425754252e-07,1.6748048994319475e-06
sim44_snap17.npz,44,17,3.0,8,0.9400574927528981,0.7112560278580928,1.00000009378082,3.46001101743574e-07,1.575915559604013e-06
sim44_snap17.npz,44,17,3.0,8,1.0111827706628471,0.6931546819753538,1.0000001531846419,3.111705619664359e-07,1.2133275680836775e-06
sim44_snap17.npz,44,17,3.0,8,1.0823080485727958,0.6755140122906829,1.0000000095425685,2.81831311413594e-07,1.1627584373119504e-06
sim44_snap17.npz,44,17,3.0,8,1.1534333264827445,0.6583222946725792,1.000000015231641,2.577532684880801e-07,1.0134165416841867e-06
sim44_snap17.npz,44,17,3.0,8,1.2245586043926935,0.6415681033667106,1.000000134152017,2.3245210821200252e-07,9.301064398670178e-07
sim44_snap17.npz,44,17,3.0,8,1.2956838823026422,0.6252403034022642,1.0000001158282141,2.1529540184951665e-07,8.575757635131964e-07
sim44_snap11.npz,44,11,4.0,3,0.6555563811131029,0.5847851780276513,0.9999999664636514,4.931669735078107e-07,1.980923444833138e-06
sim44_snap11.npz,44,11,4.0,3,0.7266816590230517,0.5517170196370239,1.0000000962700122,4.701554971313112e-07,2.1203440954131736e-06
sim44_snap11.npz,44,11,4.0,3,0.7978069369330005,0.5205187839811618,1.0000000199869525,4.475701689202237e-07,1.814686784618047e-06
sim44_snap11.npz,44,11,4.0,3,0.8689322148429494,0.4910847315449492,1.000000024016306,4.1444061317756457e-07,1.7862064565221658e-06
sim44_snap11.npz,44,11,4.0,3,0.9400574927528981,0.46331510212185323,1.000000051478118,3.764011009858244e-07,1.6654111054670295e-06
sim44_snap11.npz,44,11,4.0,3,1.0111827706628471,0.4371157766987818,1.0000001110899204,3.435787411976907e-07,1.5547861724751755e-06
sim44_snap11.npz,44,11,4.0,3,1.0823080485727958,0.4123979584605194,1.000000036479103,3.2188258929958855e-07,1.475479874057939e-06
sim44_snap11.npz,44,11,4.0,3,1.1534333264827445,0.38907787183257314,1.000000079414893,2.903197167356597e-07,1.2936803324148372e-06
sim44_snap11.npz,44,11,4.0,3,1.2245586043926935,0.3670764785424044,1.0000001513054,2.6029334452269383e-07,1.2567400933249928e-06
sim44_snap11.npz,44,11,4.0,3,1.2956838823026422,0.34631920973669605,1.0000000516592347,2.3483276074455313e-07,1.0412587323482825e-06
sim44_snap8.npz,44,8,4.600013,0,0.6555563811131029,0.44424162651546434,1.0000113575624354,7.957466518875923e-07,1.3458512714947801e-05
sim44_snap8.npz,44,8,4.600013,0,0.7266816590230517,0.40680598259850187,1.0000117913910955,8.475900090070103e-07,1.3985826077034247e-05
sim44_snap8.npz,44,8,4.600013,0,0.7978069369330005,0.3725249900060226,1.0000122097485078,9.265585867044449e-07,1.4419582828884003e-05
sim44_snap8.npz,44,8,4.600013,0,0.8689322148429494,0.341132810517075,1.0000127172377415,1.0166703451469935e-06,1.5080189032179447e-05
sim44_snap8.npz,44,8,4.600013,0,0.9400574927528981,0.31238600773976866,1.0000130639636722,1.0917026088747015e-06,1.5689958703823947e-05
sim44_snap8.npz,44,8,4.600013,0,1.0111827706628471,0.28606165933929195,1.0000135805694903,1.1902417691285756e-06,1.627786328550762e-05
sim44_snap8.npz,44,8,4.600013,0,1.0823080485727958,0.26195562834593483,1.0000141561262872,1.281055099127055e-06,1.690889324712508e-05
sim44_snap8.npz,44,8,4.600013,0,1.1534333264827445,0.2398809801376558,1.0000148541204101,1.3711848371202116e-06,1.7654615674933538e-05
sim44_snap8.npz,44,8,4.600013,0,1.2245586043926935,0.2196665328213986,1.0000153604446016,1.4714971300407783e-06,1.8319662371091283e-05
sim44_snap8.npz,44,8,4.600013,0,1.2956838823026422,0.20115552977182427,1.000016017959284,1.5757803376892783e-06,1.892541745074361e-05
