quantity,z,n_sims,in_flat_window,Ap_ref,flat_mean,lin_intercept,lin_slope,flat_rms,lin_resid_rms,flat_frac_spread,lin_frac_spread,loo_slope_min,loo_slope_max
dndx_subDLA,2.6,3,1,1.8633333333333333e-09,1.2760007220615002,1.2760007220615004,36224148.63203515,0.015544057394557467,0.0008189446814809817,0.01218185626842324,0.0006418058135248536,30642264.081196357,38414948.95540991
dndx_subDLA,2.8,3,1,1.8633333333333333e-09,1.2752799108258497,1.2752799108258497,38968863.46426607,0.019075638379921833,0.009221515908661857,0.014958001155659052,0.007230974024118485,14299920.016020171,101822238.48439954
dndx_subDLA,3.0,3,1,1.8633333333333333e-09,1.279224717081294,1.279224717081294,27047780.722255237,0.013001284540184878,0.005890552262411116,0.010163409420237659,0.004604783025027161,-13101918.534594161,42805894.90648196
dndx_subDLA,3.2,3,1,1.8633333333333333e-09,1.2700957880722819,1.2700957880722819,6636505.502262753,0.004658999928184198,0.003690388746897807,0.003668227209268607,0.0029055987599950883,-3235840.021074662,31790004.143518757
dndx_subDLA,3.4,3,1,1.8633333333333333e-09,1.261126052749205,1.2611260527492052,7972845.975572343,0.004253846719910867,0.002534370063545629,0.0033730543514168543,0.0020096088396721347,1193024.4805175452,25246981.120120876
dndx_subDLA,3.6,3,1,1.8633333333333333e-09,1.2635356513394471,1.2635356513394471,22614371.068076342,0.012343043349958359,0.007644901509415767,0.009768654597813495,0.006050404277324166,2163108.5130727016,74721623.96691345
dndx_subDLA,3.8,3,1,1.8633333333333333e-09,1.259301062742483,1.2593010627424832,20802120.502236277,0.012063516401994913,0.008128339995710625,0.009579533249756182,0.006454643957822821,-942412.7901643643,76204465.09523952
dndx_subDLA,4.0,3,1,1.8633333333333333e-09,1.2524499851837918,1.2524499851837918,8852275.651115507,0.00636435481681734,0.005110368250861281,0.005081524126397269,0.0040802972664104875,-4818728.837614388,43684281.076671325
dndx_subDLA,4.2,3,1,1.8633333333333333e-09,1.2359078762568123,1.2359078762568125,23878975.743724052,0.010896085754500996,0.0037446344196405013,0.008816260470401656,0.0030298653253848142,13861514.878564563,49402210.08200542
dndx_subDLA,4.4,3,1,1.8633333333333333e-09,1.2270556980725003,1.2270556980725005,15991935.614011055,0.006853384543506917,9.468096842409779e-05,0.005585226941427712,7.716110081459692e-05,15738649.768297995,16637276.192997482
dndx_subDLA,4.6,3,1,1.8633333333333333e-09,1.219034309372064,1.2190343093720644,13112025.36219091,0.006060857080916563,0.0022725975456656406,0.004971851107323277,0.001864260528349097,7032484.764968147,28601932.577270824
dndx_subDLA,4.8,3,0,1.8633333333333333e-09,1.2116173606722473,1.2116173606722476,8607712.803092534,0.007728458426324189,0.006791465217868902,0.006378629654197239,0.005605288796869634,-9560479.178549694,54897988.12257116
dndx_subDLA,5.0,3,0,1.8633333333333333e-09,1.20473963621499,1.2047396362149903,-8606401.938240657,0.005796218712738504,0.0044716020651272845,0.004811179559883052,0.003711675062983743,-20568610.70741555,21871806.235346682
dndx_subDLA,5.2,3,0,1.8633333333333333e-09,1.182914990620594,1.1829149906205942,-65503060.89447335,0.02829927328643205,0.00360416420419414,0.02392333642807703,0.003046849716819704,-90068857.51665033,-55861379.00484551
dndx_subDLA,5.4,3,0,1.8633333333333333e-09,1.1662331273189155,1.1662331273189157,-113423026.76965462,0.054009902898942766,0.02355439593779988,0.046311412044269036,0.020196987537088498,-273968570.0312154,-50411471.2832749
dndx_DLA,2.2,3,0,1.8633333333333333e-09,1.142841454492925,1.1428414544929253,-33301708.8157845,0.044021917271627506,0.04164482508326201,0.03851970638495948,0.036439722167533446,-317150680.5610342,78104468.33195522
dndx_DLA,2.4,3,0,1.8633333333333333e-09,1.188915706900812,1.1889157069008118,21763384.73070275,0.013043322616393554,0.00911902039971476,0.010970771553177674,0.0076700310600535575,-40391386.20681263,46158137.260778725
dndx_DLA,2.6,3,1,1.8633333333333333e-09,1.172397684681424,1.1723976846814241,19030192.373523396,0.012046618562139642,0.008866936197235557,0.010275198185343632,0.007563078904957896,-4690196.961091303,79466770.43775924
dndx_DLA,2.8,3,1,1.8633333333333333e-09,1.1695551920703586,1.169555192070359,24545797.634335555,0.011895523640137493,0.0055562392807165465,0.010170981002683521,0.004750728583300831,9682021.01034592,62416836.915896565
dndx_DLA,3.0,3,1,1.8633333333333333e-09,1.1486983662889168,1.148698366288917,2363512.4105740436,0.011242970208090026,0.011197259946542368,0.009787573951560954,0.009747780858013401,-27590843.80726887,78683456.50532657
dndx_DLA,3.2,3,1,1.8633333333333333e-09,1.1648299332147953,1.1648299332147953,27949169.960310385,0.014043333918770618,0.00733332177799841,0.012056123832611896,0.006295615839609559,-22034371.62019012,47566909.822289936
