quantity,z,n_sims,in_flat_window,R_mean,R_std_across_sims,frac_spread,lin_intercept,lin_slope_Ap,lin_resid_rms,lin_frac_spread,fractional_improvement
dndx_subDLA,4.6,3,1,1.219034309372064,0.007423003626089958,0.006089249145016777,1.2190343093720644,13112025.36219091,0.0022725975456656406,0.001864260528349097,0.6938439397122154
dndx_subDLA,4.8,3,0,1.2116173606722473,0.009465389821403662,0.007812193955484374,1.2116173606722476,8607712.803092534,0.006791465217868902,0.005605288796869634,0.28249492667363085
dndx_subDLA,5.0,3,0,1.20473963621499,0.007098889141890442,0.005892467491310812,1.2047396362149903,-8606401.938240657,0.0044716020651272845,0.003711675062983743,0.3700983385216673
dndx_subDLA,5.2,3,0,1.182914990620594,0.03465938982166666,0.02929998359686292,1.1829149906205942,-65503060.89447335,0.00360416420419414,0.003046849716819704,0.8960118968412691
dndx_subDLA,5.4,3,0,1.1662331273189155,0.06614835157983787,0.05671966438812116,1.1662331273189157,-113423026.76965462,0.02355439593779988,0.020196987537088498,0.6439156021995369
dndx_DLA,2.2,3,0,1.142841454492925,0.05391561740725061,0.04717681284248897,1.1428414544929253,-33301708.8157845,0.04164482508326201,0.036439722167533446,0.22759254023377673
dndx_DLA,2.4,3,0,1.188915706900812,0.01597474248033393,0.013436396194963094,1.1889157069008118,21763384.73070275,0.00911902039971476,0.0076700310600535575,0.4291601000178289
dndx_DLA,2.6,3,1,1.172397684681424,0.014754034301591246,0.012584496280031776,1.1723976846814241,19030192.373523396,0.008866936197235557,0.007563078904957896,0.3990161595137919
dndx_DLA,2.8,3,1,1.1695551920703586,0.014568981570775802,0.012456856820057923,1.169555192070359,24545797.634335555,0.0055562392807165465,0.004750728583300831,0.6186254163529239
dndx_DLA,3.0,3,1,1.1486983662889168,0.013769770101566686,0.011987281000540188,1.148698366288917,2363512.4105740436,0.011197259946542368,0.009747780858013401,0.18682302871066991
dndx_DLA,3.2,3,1,1.1648299332147953,0.01719950119425386,0.014765675832853327,1.1648299332147953,27949169.960310385,0.00733332177799841,0.006295615839609559,0.5736317178518885
dndx_DLA,3.4,3,1,1.1467804425454184,0.006309280275306805,0.005501733410540723,1.1467804425454184,2906739.9147043717,0.00499865606228166,0.004358860577693961,0.2077295913061039
dndx_DLA,3.6,3,1,1.1777348966897883,0.014822967354632672,0.012585996556860959,1.1777348966897887,-23912061.753260218,0.006441078854032218,0.0054690396558137976,0.5654662997001632
dndx_DLA,3.8,3,1,1.1731144118979477,0.011918684394757857,0.01015986529009985,1.1731144118979477,-16485004.288976997,0.006693506867653278,0.005705757937816183,0.4384022056497062
dndx_DLA,4.0,3,1,1.1770150767895309,0.011428292512410112,0.009709554905262844,1.177015076789531,-20955326.519510593,0.002537191599444088,0.002155615207890645,0.7779903168658903
dndx_DLA,4.2,3,1,1.1845646147382967,0.022898133224668042,0.019330421439042293,1.1845646147382969,-37708960.43518783,0.009404529169006054,0.007939228516532866,0.5892883897245125
dndx_DLA,4.4,3,1,1.1966555535604975,0.01998802181707517,0.016703237416651213,1.1966555535604972,-37651137.08468489,0.002458249413648785,0.002054266498270596,0.8770138718005213
dndx_DLA,4.6,3,1,1.201336143379505,0.021060639079238674,0.017531012610669094,1.201336143379505,-39916545.2219316,0.0017690232707278876,0.001472546447950371,0.9160033432949445
dndx_DLA,4.8,3,0,1.212942482601399,0.029736658454448818,0.024516132364885576,1.212942482601399,-55216672.819835916,0.005447042685890354,0.004490767504661949,0.8168239819469212
