sim,Ap,ns,z,dX_per_sightline,dndx_LLS,sigma_LLS,dndx_subDLA,sigma_subDLA,dndx_DLA,sigma_DLA,in_fiducial
ns0.957Ap1.62e-09herei3.54heref3.16alphaq2.44hub0.73omegamh20.145hireionz6.8bhfeedback0.0621,1.62e-09,0.957,3.0,0.6404430627804519,0.3363963494240994,0.0008790367971339092,0.09877240543010947,0.0004783859462929212,0.049955470077793454,0.0003420015183095436,True
ns0.849Ap1.64e-09herei3.77heref2.83alphaq2.4hub0.748omegamh20.143hireionz7.33bhfeedback0.0307,1.64e-09,0.849,3.0,0.6404430627804519,0.32974360187145846,0.000871994062371941,0.08839231205001266,0.0004527244872927506,0.04390813384743019,0.0003208289249501241,False
ns0.972Ap1.69e-09herei3.87heref2.65alphaq2.12hub0.722omegamh20.144hireionz7.53bhfeedback0.0507,1.69e-09,0.972,3.0,0.640443062780452,0.36044789549981004,0.0009084236350641749,0.10291314779479226,0.0004884368644878322,0.051358307507399566,0.0003474102579905724,True
ns1.04Ap1.73e-09herei4.21heref2.49alphaq2.52hub0.671omegamh20.145hireionz7.81bhfeedback0.0683,1.73e-09,1.04,3.0,0.6404430627804519,0.40878140539329244,0.0009674221033013959,0.11938575735467605,0.000524526638752138,0.05932805058574159,0.0003713776995078238,True
ns0.953Ap1.74e-09herei4.07heref2.93alphaq2.31hub0.692omegamh20.142hireionz7.38bhfeedback0.0573,1.74e-09,0.953,3.0,0.6404430627804519,0.36905015787008405,0.000919270590422037,0.1045464029664593,0.0004918047826886889,0.05246069827333803,0.00034996811597910575,True
ns0.909Ap1.76e-09herei4.07heref2.64alphaq2.39hub0.697omegamh20.146hireionz6.94bhfeedback0.059,1.76e-09,0.909,3.0,0.6404430627804519,0.37036263540084274,0.0009224621842401919,0.10427306427244587,0.0004915306814916896,0.05293282874481578,0.00035170551681296206,False
ns0.855Ap1.78e-09herei3.65heref3.15alphaq1.92hub0.688omegamh20.143hireionz6.67bhfeedback0.0653,1.78e-09,0.855,3.0,0.6404430627804518,0.3445581072874922,0.0008911941575322536,0.09824605901932329,0.00047614268991159545,0.04929810181367851,0.0003389551982551463,False
ns0.979Ap1.78e-09herei3.65heref2.85alphaq1.53hub0.692omegamh20.141hireionz7.12bhfeedback0.0467,1.78e-09,0.979,3.0,0.6404430627804519,0.3707850679279544,0.0009222083349163746,0.10612770119628906,0.0004953178311040701,0.054430544068211684,0.000357000889033054,True
ns0.905Ap1.79e-09herei3.97heref2.99alphaq2.1hub0.745omegamh20.145hireionz7.47bhfeedback0.043,1.79e-09,0.905,3.0,0.6404430627804519,0.35767384660519447,0.0009079088607618093,0.09881984437700436,0.0004776191144019427,0.0496392104318275,0.0003409025202125908,False
ns0.909Ap1.81e-09herei4.04heref3.17alphaq1.84hub0.655omegamh20.141hireionz7.69bhfeedback0.0432,1.81e-09,0.909,3.0,0.6404430627804519,0.36268204399881243,0.0009132278624406793,0.10549969989929953,0.0004941919100848291,0.05302996563607675,0.0003510525765424573,False
ns0.982Ap1.81e-09herei3.62heref2.78alphaq1.78hub0.72omegamh20.143hireionz7.55bhfeedback0.0421,1.81e-09,0.982,3.0,0.6404430627804519,0.3702158005652157,0.0009214654106379637,0.10633552896363811,0.0004955211710561988,0.05385449971305941,0.0003551426855061539,True
ns0.933Ap1.83e-09herei4.09heref2.75alphaq2.42hub0.682omegamh20.145hireionz7.03bhfeedback0.0613,1.83e-09,0.933,3.0,0.6404430627804519,0.38801444164068527,0.0009420878019444916,0.1109122578402597,0.0005072165982434756,0.05571591362931617,0.0003603504907823527,False
ns0.894Ap1.84e-09herei4.46heref3.08alphaq2.6hub0.696omegamh20.142hireionz6.81bhfeedback0.045,1.84e-09,0.894,3.0,0.6404430627804519,0.3567047366900559,0.0009059937694481836,0.10242294534354504,0.00048687523042754884,0.05151869632785373,0.00034714812392562413,False
