sim,z,Ap,ns,dndx_LLS_LF,dndx_LLS_HR,R_dndx_LLS,dndx_subDLA_LF,dndx_subDLA_HR,R_dndx_subDLA,dndx_DLA_LF,dndx_DLA_HR,R_dndx_DLA,omega_LLS_LF,omega_LLS_HR,R_omega_LLS,omega_subDLA_LF,omega_subDLA_HR,R_omega_subDLA,omega_DLA_LF,omega_DLA_HR,R_omega_DLA
ns0.885Ap2.32e-09herei4.06heref2.94alphaq1.99hub0.67omegamh20.146hireionz6.6bhfeedback0.0379,4.4,2.32e-09,0.885,0.674698390333177,0.6810942231811171,1.0094795436591775,0.17070428291052328,0.21072533930476506,1.2344467034562883,0.07427594720541822,0.08777536882303737,1.1817468793805488,1.403382049460286e-05,1.543810395148069e-05,1.1000642310779085,0.00014003061347213252,0.00017646693487872073,1.260202540738275,0.001119228295542731,0.001176784011202516,1.051424464418026
ns0.885Ap2.32e-09herei4.06heref2.94alphaq1.99hub0.67omegamh20.146hireionz6.6bhfeedback0.0379,4.6,2.32e-09,0.885,0.7306566616694403,0.7220851891221367,0.9882688094190244,0.17824905603715527,0.21873563498588175,1.2271348855855215,0.07452928227395234,0.08829872997095857,1.1847521843346478,1.4946109791710324e-05,1.612284982045269e-05,1.0787321948748851,0.0001453295754254501,0.00018232516796131402,1.2545634116631792,0.0010727341182500552,0.0011270289840120658,1.0506135349275378
ns0.885Ap2.32e-09herei4.06heref2.94alphaq1.99hub0.67omegamh20.146hireionz6.6bhfeedback0.0379,4.8,2.32e-09,0.885,0.7955601241472436,0.7747558085151862,0.9738494740993241,0.1869132864026869,0.22838224091050519,1.2218619944356304,0.07621730816460531,0.09091130292698803,1.1927907861905636,1.604534651669389e-05,1.699305813418489e-05,1.0590645777892664,0.00015260014139393402,0.00018966197874945004,1.2428689581606722,0.0010699804456361195,0.001134102687778227,1.0599284243031057
ns0.885Ap2.32e-09herei4.06heref2.94alphaq1.99hub0.67omegamh20.146hireionz6.6bhfeedback0.0379,5.0,2.32e-09,0.885,0.8739574094862086,0.8448312855866793,0.9666732914174248,0.20628042620301543,0.24856099599470707,1.2049664651656298,0.07737047087023516,0.09258412669407405,1.196633879214139,1.7539879254252444e-05,1.8312399095542282e-05,1.044043623681306,0.00016289721932186358,0.00020349693406757443,1.2492351613779922,0.0010667471954729812,0.0011369529296480047,1.0658129071939066
ns0.885Ap2.32e-09herei4.06heref2.94alphaq1.99hub0.67omegamh20.146hireionz6.6bhfeedback0.0379,5.2,2.32e-09,0.885,0.9759245016341158,0.9547863848536612,0.9783404179882149,0.28566499147814833,0.32841511903208936,1.1496512657457054,0.07882812857106852,0.09491137609251668,1.204029295290806,2.018444411681102e-05,2.0955361158479813e-05,1.0381936226337152,0.00021681033868140357,0.00025687764037208807,1.18480346432908,0.0010876890299415835,0.0011433825086535777,1.0512034939940373
ns0.885Ap2.32e-09herei4.06heref2.94alphaq1.99hub0.67omegamh20.146hireionz6.6bhfeedback0.0379,5.4,2.32e-09,0.885,1.0958458502182369,1.0963117684466688,1.0004251676714742,0.5129618507694196,0.5604307999744766,1.0925389463833535,0.09074463435422636,0.10783094999272731,1.1882900929635536,2.366953490551562e-05,2.465435210433314e-05,1.0416069518369806,0.00042058423035533723,0.0004642020840738917,1.103707772594572,0.0010820707380486722,0.001177663231335389,1.0883421849657458
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,2.2,1.98e-09,0.909,0.26367089077346706,0.3322632311758818,1.2601437731757272,0.08422530883972733,0.11000611747963045,1.3060933702120525,0.045603511449554816,0.05457596703041924,1.196749226006192,6.014789094987563e-06,7.837842238833079e-06,1.3030951069198353,7.04476438665171e-05,8.992660248435774e-05,1.2765026273234776,0.0007312393964105856,0.0008453916666339169,1.1561079323456414
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,2.4,1.98e-09,0.909,0.2894837813000805,0.3678907195376339,1.2708508845829822,0.08995052064266754,0.1169678813042578,1.3003580242622268,0.04762509403973415,0.05734584097838525,1.204109768907563,6.568448874057801e-06,8.587355388984648e-06,1.3073642733066786,7.451401517382419e-05,9.511898631519712e-05,1.2765247731357146,0.000763545322857342,0.0008433935745601199,1.1045756542702265
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,2.6,1.98e-09,0.909,0.31712751798510047,0.3877840566502474,1.2228016638671722,0.0953242743862136,0.12214503350769447,1.2813633703920422,0.050068949621290014,0.05819577629072906,1.1623127053974267,7.0960603909305676e-06,8.988745387457357e-06,1.266723349613233,7.847611061731632e-05,9.9799921993861e-05,1.2717236010908959,0.0008071767161077711,0.0009165408493047373,1.1354897025825066
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,2.8,1.98e-09,0.909,0.3458359813273072,0.4125747214669218,1.192978011956632,0.10222944247767092,0.12952767223286113,1.2670290387346357,0.051973266333831813,0.06053368681455348,1.1647081487189366,7.646496240658343e-06,9.457427302327368e-06,1.2368314852546254,8.318053093964997e-05,0.00010601627997932657,1.2745323789318517,0.0008394059966531902,0.0009123861548165925,1.0869426218711598
ns0.909Ap1.98e-09herei3.75heref3.01alphaq2.43hub0.682omegamh20.14hireionz7.6bhfeedback0.0449,3.0,1.98e-09,0.909,0.3750997530979185,0.44712788746666426,1.1920239450276127,0.10693416329350225,0.13800441451218592,1.2905549570103723,0.054801019653486084,0.062113394467713155,1.133435013809308,8.15607990559921e-06,1.0175665142814579e-05,1.2476171470351718,8.784738194684203e-05,0.00011297621523518557,1.286051020889267,0.0008648871996697276,0.0009004117810459371,1.04107423648977
